latitude,longitude,precision,geohash
-89.1900000000,-178.3800000000,12,001hsg7wsdzw
-89.1800000000,-178.3600000000,12,001htm60yg0d
-89.1700000000,-178.3400000000,12,001htz0g0g1w
-89.1600000000,-178.3200000000,12,001hy0zm6g6g
-89.1500000000,-178.3000000000,12,001hydtzsg7z
-89.1400000000,-178.2800000000,12,001hzhs3ygsg
-89.1300000000,-178.2600000000,12,001hzw7h0gy0
-89.1200000000,-178.2400000000,12,001m001w6gzh
-89.1100000000,-178.2200000000,12,001m0d00th00
-89.1000000000,-178.2000000000,12,001m0gydzh1m
-89.0900000000,-178.1800000000,12,001m1mtm1h63
-89.0800000000,-178.1600000000,12,001m1z7z7h7m
-89.0700000000,-178.1400000000,12,001m6363thsd
-89.0600000000,-178.1200000000,12,001m6g0gzhtw
-89.0500000000,-178.1000000000,12,001m7hzw1hyd
-89.0400000000,-178.0800000000,12,001m7wy07hzz
-89.0300000000,-178.0600000000,12,001ms0sdtm0g
-89.0200000000,-178.0400000000,12,001msd7hzm1z
-89.0100000000,-178.0200000000,12,001mth1z1m7h
-89.0000000000,-178.0000000000,12,001mtw037ms0
-88.9900000000,-177.9800000000,12,001mtzygtmth
-88.9800000000,-177.9600000000,12,001my3tmzmy3
-88.9700000000,-177.9400000000,12,001mygs01mzm
-88.9600000000,-177.9200000000,12,001mzm6d7w03
-88.9500000000,-177.9000000000,12,001mzz1htw1m
-88.9400000000,-177.8800000000,12,001w00zwzw6d
-88.9300000000,-177.8600000000,12,001w0dy31w7w
-88.9200000000,-177.8400000000,12,001w1hsg7wsd
-88.9100000000,-177.8200000000,12,001w1w7mtwtz
-88.9000000000,-177.8000000000,12,001w601zzwyg
-88.8900000000,-177.7800000000,12,001w6d0d1wzz
-88.8800000000,-177.7600000000,12,001w6gzh7z1h
-88.8700000000,-177.7400000000,12,001w7mtwtz60
-88.8600000000,-177.7200000000,12,001w7zs0zz7h
-88.8500000000,-177.7000000000,12,001ws36g1zs3
-88.8400000000,-177.6800000000,12,001wsg1m7ztm
-88.8300000000,-177.6600000000,12,001wthzztzy3
-88.8200000000,-177.6400000000,12,001wtwy3zzzw
-88.8100000000,-177.6200000000,12,001wy0th600d
-88.8000000000,-177.6000000000,12,001wyd7ws01w
-88.7900000000,-177.5800000000,12,001wzh60y06g
-88.7800000000,-177.5600000000,12,001wzw0g007z
-88.7700000000,-177.5400000000,12,001wzzzm60sg
-88.7600000000,-177.5200000000,12,001z03tzs0y0
-88.7500000000,-177.5000000000,12,001z0gs3y0zh
-88.7400000000,-177.4800000000,12,001z1m7h0300
-88.7300000000,-177.4600000000,12,001z1z1w631m
-88.7200000000,-177.4400000000,12,001z6300s363
-88.7100000000,-177.4200000000,12,001z6dydy37m
-88.7000000000,-177.4000000000,12,001z7htm03sd
-88.6900000000,-177.3800000000,12,001z7w7z63tw
-88.6800000000,-177.3600000000,12,001zs063s3yd
-88.6700000000,-177.3400000000,12,001zsd0gy3zz
-88.6600000000,-177.3200000000,12,001zsgzw0d0g
-88.6500000000,-177.3000000000,12,001ztmy06d1z
-88.6400000000,-177.2800000000,12,001ztzsdsd7h
-88.6300000000,-177.2600000000,12,001zy37hyds0
-88.6200000000,-177.2400000000,12,001zyg1z0dth
-88.6100000000,-177.2200000000,12,001zzm036dy0
-88.6000000000,-177.2000000000,12,001zzwygsdzm
-88.5900000000,-177.1800000000,12,006000tmyg03
-88.5800000000,-177.1600000000,12,00600ds00g1m
-88.5700000000,-177.1400000000,12,00601h6d6g6d
-88.5600000000,-177.1200000000,12,00601w1hsg7w
-88.5500000000,-177.1000000000,12,00601zzwygsd
-88.5400000000,-177.0800000000,12,006063y30gtz
-88.5300000000,-177.0600000000,12,00606gsg6gyg
-88.5200000000,-177.0400000000,12,00607m7msgzz
-88.5100000000,-177.0200000000,12,00607z1zzh1h
-88.5000000000,-177.0000000000,12,0060s30d1h60
-88.4900000000,-176.9800000000,12,0060sdzh7h7h
-88.4800000000,-176.9600000000,12,0060thtwths3
-88.4700000000,-176.9400000000,12,0060tws0zhtm
-88.4600000000,-176.9200000000,12,0060y06g1hy3
-88.4500000000,-176.9000000000,12,0060yd1m7hzw
-88.4400000000,-176.8800000000,12,0060ygzztm0d
-88.4300000000,-176.8600000000,12,0060zmy3zm1w
-88.4200000000,-176.8400000000,12,0060zzth1m6g
-88.4100000000,-176.8200000000,12,0063037w7m7z
-88.4000000000,-176.8000000000,12,00630g60tmsg
-88.3900000000,-176.7800000000,12,00631m0dzmy0
-88.3800000000,-176.7600000000,12,00631wzm1mzh
-88.3700000000,-176.7400000000,12,006360tz7w00
-88.3600000000,-176.7200000000,12,00636ds3tw1m
-88.3500000000,-176.7000000000,12,00637h6gzw63
-88.3400000000,-176.6800000000,12,00637w1w1w7m
-88.3300000000,-176.6600000000,12,0063s0007wsd
-88.3200000000,-176.6400000000,12,0063s3ydtwtw
-88.3100000000,-176.6200000000,12,0063sgthzwyd
-88.3000000000,-176.6000000000,12,0063tm7z1wzz
-88.2900000000,-176.5800000000,12,0063tz637z0g
-88.2800000000,-176.5600000000,12,0063y30gtz1z
-88.2700000000,-176.5400000000,12,0063ydzmzz6g
-88.2600000000,-176.5200000000,12,0063zhy01zs0
-88.2500000000,-176.5000000000,12,0063zwsd7zth
-88.2400000000,-176.4800000000,12,006d007htzy0
-88.2300000000,-176.4600000000,12,006d0d1wzzzm
-88.2200000000,-176.4400000000,12,006d1h036003
-88.2100000000,-176.4200000000,12,006d1mygs01m
-88.2000000000,-176.4000000000,12,006d1ztmy06d
-88.1900000000,-176.3800000000,12,006d63s0007w
-88.1800000000,-176.3600000000,12,006d6g6d60sd
-88.1700000000,-176.3400000000,12,006d7m1hs0tz
-88.1600000000,-176.3200000000,12,006d7wzwy0yg
-88.1500000000,-176.3000000000,12,006ds0y300zz
-88.1400000000,-176.2800000000,12,006dsdsg631h
-88.1300000000,-176.2600000000,12,006dth7ms360
-88.1200000000,-176.2400000000,12,006dtw1zy37h
-88.1100000000,-176.2200000000,12,006dy00d03s3
-88.1000000000,-176.2000000000,12,006dy3zh63tm
-88.0900000000,-176.1800000000,12,006dygtws3y3
-88.0800000000,-176.1600000000,12,006dzms0y3zw
-88.0700000000,-176.1400000000,12,006dzz6g0d0d
-88.0600000000,-176.1200000000,12,006g031m6d1w
-88.0500000000,-176.1000000000,12,006g0dzzsd6g
-88.0400000000,-176.0800000000,12,006g1hy3yd7z
-88.0300000000,-176.0600000000,12,006g1wth0dsg
-88.0200000000,-176.0400000000,12,006g607w6dy0
-88.0100000000,-176.0200000000,12,006g6d60sdzh
-88.0000000000,-176.0000000000,12,006g7h0dyg00
-87.9900000000,-175.9800000000,12,006g7mzm0g1m
-87.9800000000,-175.9600000000,12,006g7ztz6g63
-87.9700000000,-175.9400000000,12,006gs3s3sg7m
-87.9600000000,-175.9200000000,12,006gsg6gygsd
-87.9500000000,-175.9000000000,12,006gtm1w0gtw
-87.9400000000,-175.8800000000,12,006gtz006gyd
-87.9300000000,-175.8600000000,12,006gy0ydsgzw
-87.9200000000,-175.8400000000,12,006gydthzh0g
-87.9100000000,-175.8200000000,12,006gzh7z1h1z
-87.9000000000,-175.8000000000,12,006gzw637h6g
-87.8900000000,-175.7800000000,12,007h000gths0
-87.8800000000,-175.7600000000,12,007h03zmzhth
-87.8700000000,-175.7400000000,12,007h0gy01hy0
-87.8600000000,-175.7200000000,12,007h1msd7hzm
-87.8500000000,-175.7000000000,12,007h1z7htm03
-87.8400000000,-175.6800000000,12,007h631wzm1m
-87.8300000000,-175.6600000000,12,007h6g031m6d
-87.8200000000,-175.6400000000,12,007h7hyg7m7w
-87.8100000000,-175.6200000000,12,007h7wtmtmsd
-87.8000000000,-175.6000000000,12,007hs07zzmtz
-87.7900000000,-175.5800000000,12,007hsd6d1myg
-87.7800000000,-175.5600000000,12,007hth1h7mzz
-87.7700000000,-175.5400000000,12,007htmzwtw1h
-87.7600000000,-175.5200000000,12,007htzy0zw60
-87.7500000000,-175.5000000000,12,007hy3sg1w7h
-87.7400000000,-175.4800000000,12,007hyg7m7ws3
-87.7300000000,-175.4600000000,12,007hzm1ztwtm
-87.7200000000,-175.4400000000,12,007hzz03zwy3
-87.7100000000,-175.4200000000,12,007m00zh1wzw
-87.7000000000,-175.4000000000,12,007m0dtw7z0d
-87.6900000000,-175.3800000000,12,007m1hs0tz1w
-87.6800000000,-175.3600000000,12,007m1w6dzz6g
-87.6700000000,-175.3400000000,12,007m601m1z7z
-87.6600000000,-175.3200000000,12,007m63zz7zsg
-87.6500000000,-175.3000000000,12,007m6gy3tzy0
-87.6400000000,-175.2800000000,12,007m7msgzzzh
-87.6300000000,-175.2600000000,12,007m7z7w6000
-87.6200000000,-175.2400000000,12,007ms360s01m
-87.6100000000,-175.2200000000,12,007msg0dy063
-87.6000000000,-175.2000000000,12,007mthzm007m
-87.5900000000,-175.1800000000,12,007mtwtz60s3
-87.5800000000,-175.1600000000,12,007my0s3s0tw
-87.5700000000,-175.1400000000,12,007myd6gy0yd
-87.5600000000,-175.1200000000,12,007mzh1w00zw
-87.5500000000,-175.1000000000,12,007mzw00630g
-87.5400000000,-175.0800000000,12,007mzzyds31z
-87.5300000000,-175.0600000000,12,007w03thy36g
-87.5200000000,-175.0400000000,12,007w0g7z03s0
-87.5100000000,-175.0200000000,12,007w1m6363th
-87.5000000000,-175.0000000000,12,007w1z0gs3y0
-87.4900000000,-174.9800000000,12,007w60zmy3zm
-87.4800000000,-174.9600000000,12,007w6dy00d03
-87.4700000000,-174.9400000000,12,007w7hsd6d1m
-87.4600000000,-174.9200000000,12,007w7w7hsd6d
-87.4500000000,-174.9000000000,12,007ws01wyd7w
-87.4400000000,-174.8800000000,12,007wsd030dsd
-87.4300000000,-174.8600000000,12,007wsgyg6dtz
-87.4200000000,-174.8400000000,12,007wtmtmsdyg
-87.4100000000,-174.8200000000,12,007wtz7zydzz
-87.4000000000,-174.8000000000,12,007wy36d0g1h
-87.3900000000,-174.7800000000,12,007wyg1h6g60
-87.3800000000,-174.7600000000,12,007wzhzwsg7h
-87.3700000000,-174.7400000000,12,007wzwy0ygs3
-87.3600000000,-174.7200000000,12,007z00sg0gtm
-87.3500000000,-174.7000000000,12,007z0d7m6gy3
-87.3400000000,-174.6800000000,12,007z1h1zsgzw
-87.3300000000,-174.6600000000,12,007z1w03zh0d
-87.3200000000,-174.6400000000,12,007z1zzh1h1w
-87.3100000000,-174.6200000000,12,007z63tw7h6g
-87.3000000000,-174.6000000000,12,007z6gs0th7z
-87.2900000000,-174.5800000000,12,007z7m6dzhsg
-87.2800000000,-174.5600000000,12,007z7z1m1hy0
-87.2700000000,-174.5400000000,12,007zs0zz7hzh
-87.2600000000,-174.5200000000,12,007zsdy3tm00
-87.2500000000,-174.5000000000,12,007zthsgzm1h
-87.2400000000,-174.4800000000,12,007ztw7w1m63
-87.2300000000,-174.4600000000,12,007zy0607m7m
-87.2200000000,-174.4400000000,12,007zyd0dtms3
-87.2100000000,-174.4200000000,12,007zygzhzmtw
-87.2000000000,-174.4000000000,12,007zzmtz1myd
-87.1900000000,-174.3800000000,12,007zzzs37mzw
-87.1800000000,-174.3600000000,12,00s0036gtw0g
-87.1700000000,-174.3400000000,12,00s00g1mzw1z
-87.1600000000,-174.3200000000,12,00s01m001w6g
-87.1500000000,-174.3000000000,12,00s01wyd7ws0
-87.1400000000,-174.2800000000,12,00s060thtwth
-87.1300000000,-174.2600000000,12,00s06d7wzwy0
-87.1200000000,-174.2400000000,12,00s07h631wzm
-87.1100000000,-174.2200000000,12,00s07w0g7z03
-87.1000000000,-174.2000000000,12,00s07zzmtz1m
-87.0900000000,-174.1800000000,12,00s0s3tzzz6d
-87.0800000000,-174.1600000000,12,00s0sgsd1z7w
-87.0700000000,-174.1400000000,12,00s0tm7h7zsd
-87.0600000000,-174.1200000000,12,00s0tz1wtztz
-87.0500000000,-174.1000000000,12,00s0y300zzyg
-87.0400000000,-174.0800000000,12,00s0ydyg1zzz
-87.0300000000,-174.0600000000,12,00s0zhtms01h
-87.0200000000,-174.0400000000,12,00s0zw7zy060
-87.0100000000,-174.0200000000,12,00s3006d007h
-87.0000000000,-174.0000000000,12,00s30d1h60s3
-86.9900000000,-173.9800000000,12,00s30gzws0tm
-86.9800000000,-173.9600000000,12,00s31my0y0y3
-86.9700000000,-173.9400000000,12,00s31zsg00zw
-86.9600000000,-173.9200000000,12,00s3637m630d
-86.9500000000,-173.9000000000,12,00s36g1zs31w
-86.9400000000,-173.8800000000,12,00s37m03y36g
-86.9300000000,-173.8600000000,12,00s37wzh037z
-86.9200000000,-173.8400000000,12,00s3s0tw63sg
-86.9100000000,-173.8200000000,12,00s3sds0s3tz
-86.9000000000,-173.8000000000,12,00s3th6dy3zh
-86.8900000000,-173.7800000000,12,00s3tw1m0d00
-86.8800000000,-173.7600000000,12,00s3tzzz6d1h
-86.8700000000,-173.7400000000,12,00s3y3y3sd63
-86.8600000000,-173.7200000000,12,00s3ygsgyd7m
-86.8500000000,-173.7000000000,12,00s3zm7w0ds3
-86.8400000000,-173.6800000000,12,00s3zz606dtw
-86.8300000000,-173.6600000000,12,00sd030dsdyd
-86.8200000000,-173.6400000000,12,00sd0dzhydzw
-86.8100000000,-173.6200000000,12,00sd1htz0g0g
-86.8000000000,-173.6000000000,12,00sd1ws36g1z
-86.7900000000,-173.5800000000,12,00sd606gsg6g
-86.7800000000,-173.5600000000,12,00sd6d1mygs0
-86.7700000000,-173.5400000000,12,00sd7h000gth
-86.7600000000,-173.5200000000,12,00sd7myd6gy0
-86.7500000000,-173.5000000000,12,00sd7zthsgzm
-86.7400000000,-173.4800000000,12,00sds37wzh03
-86.7300000000,-173.4600000000,12,00sdsg631h1m
-86.7200000000,-173.4400000000,12,00sdtm0g7h6d
-86.7100000000,-173.4200000000,12,00sdtwzmth7w
-86.7000000000,-173.4000000000,12,00sdy0tzzhsd
-86.6900000000,-173.3800000000,12,00sdydsd1htz
-86.6800000000,-173.3600000000,12,00sdzh7h7hyg
-86.6700000000,-173.3400000000,12,00sdzw1wthzz
-86.6600000000,-173.3200000000,12,00sg0000zm1h
-86.6500000000,-173.3000000000,12,00sg03yg1m60
-86.6400000000,-173.2800000000,12,00sg0gtm7m7h
-86.6300000000,-173.2600000000,12,00sg1m7ztms3
-86.6200000000,-173.2400000000,12,00sg1z63zmtm
-86.6100000000,-173.2200000000,12,00sg631h1my3
-86.6000000000,-173.2000000000,12,00sg6dzw7mzw
-86.5900000000,-173.1800000000,12,00sg7hy0tw0d
-86.5800000000,-173.1600000000,12,00sg7wsdzw1w
-86.5700000000,-173.1400000000,12,00sgs07m1w6d
-86.5600000000,-173.1200000000,12,00sgsd1z7w7z
-86.5500000000,-173.1000000000,12,00sgth03twsg
-86.5400000000,-173.0800000000,12,00sgtmygzwtz
-86.5300000000,-173.0600000000,12,00sgtztw1wzh
-86.5200000000,-173.0400000000,12,00sgy3s07z00
-86.5100000000,-173.0200000000,12,00sgyg6dtz1h
-86.5000000000,-173.0000000000,12,00sgzm1hzz63
-86.4900000000,-172.9800000000,12,00sgzwzz1z7m
-86.4800000000,-172.9600000000,12,00th00y37zs3
-86.4700000000,-172.9400000000,12,00th0dsgtztw
-86.4600000000,-172.9200000000,12,00th1h7mzzyd
-86.4500000000,-172.9000000000,12,00th1w601zzw
-86.4400000000,-172.8800000000,12,00th600ds00g
-86.4300000000,-172.8600000000,12,00th63zhy01z
-86.4200000000,-172.8400000000,12,00th6gtz006g
-86.4100000000,-172.8200000000,12,00th7ms360s0
-86.4000000000,-172.8000000000,12,00th7z6gs0th
-86.3900000000,-172.7800000000,12,00ths31my0y0
-86.3800000000,-172.7600000000,12,00thsg0000zm
-86.3700000000,-172.7400000000,12,00ththyd6303
-86.3600000000,-172.7200000000,12,00thtwths31m
-86.3500000000,-172.7000000000,12,00thy07wy36d
-86.3400000000,-172.6800000000,12,00thyd63037w
-86.3300000000,-172.6600000000,12,00thzh0g63sd
-86.3200000000,-172.6400000000,12,00thzmzms3tz
-86.3100000000,-172.6200000000,12,00thzztzy3yg
-86.3000000000,-172.6000000000,12,00tm03sd03zz
-86.2900000000,-172.5800000000,12,00tm0g7h6d1h
-86.2800000000,-172.5600000000,12,00tm1m1wsd60
-86.2700000000,-172.5400000000,12,00tm1z00yd7h
-86.2600000000,-172.5200000000,12,00tm60yg0ds3
-86.2500000000,-172.5000000000,12,00tm6dtm6dtm
-86.2400000000,-172.4800000000,12,00tm7h7zsdy3
-86.2300000000,-172.4600000000,12,00tm7w63ydzm
-86.2200000000,-172.4400000000,12,00tms01h0g0d
-86.2100000000,-172.4200000000,12,00tms3zw6g1w
-86.2000000000,-172.4000000000,12,00tmsgy0sg6d
-86.1900000000,-172.3800000000,12,00tmtmsdyg7z
-86.1800000000,-172.3600000000,12,00tmtz7m0gsg
-86.1700000000,-172.3400000000,12,00tmy31z6gtz
-86.1600000000,-172.3200000000,12,00tmyg03sgzh
-86.1500000000,-172.3000000000,12,00tmzhygzh00
-86.1400000000,-172.2800000000,12,00tmzwtw1h1h
-86.1300000000,-172.2600000000,12,00tw00s07h63
-86.1200000000,-172.2400000000,12,00tw0d6dth7m
-86.1100000000,-172.2200000000,12,00tw1h1hzhs3
-86.1000000000,-172.2000000000,12,00tw1mzz1htw
-86.0900000000,-172.1800000000,12,00tw1zy37hyd
-86.0800000000,-172.1600000000,12,00tw63sgthzw
-86.0700000000,-172.1400000000,12,00tw6g7mzm0g
-86.0600000000,-172.1200000000,12,00tw7m601m1z
-86.0500000000,-172.1000000000,12,00tw7z0d7m6g
-86.0400000000,-172.0800000000,12,00tws0zhtms0
-86.0300000000,-172.0600000000,12,00twsdtwzmth
-86.0200000000,-172.0400000000,12,00twths31my0
-86.0100000000,-172.0200000000,12,00twtw6g7mzm
-86.0000000000,-172.0000000000,12,00twy01mtw03
-85.9900000000,-171.9800000000,12,00twy3zzzw1m
-85.9800000000,-171.9600000000,12,00twygyd1w6d
-85.9700000000,-171.9400000000,12,00twzmth7w7w
-85.9600000000,-171.9200000000,12,00twzz7wtwsd
-85.9500000000,-171.9000000000,12,00tz0360zwtz
-85.9400000000,-171.8800000000,12,00tz0g0g1wyg
-85.9300000000,-171.8600000000,12,00tz1hzm7wzz
-85.9200000000,-171.8400000000,12,00tz1wtztz1h
-85.9100000000,-171.8200000000,12,00tz60s3zz60
-85.9000000000,-171.8000000000,12,00tz6d7h1z7h
-85.8900000000,-171.7800000000,12,00tz7h1w7zs0
-85.8800000000,-171.7600000000,12,00tz7w00tztm
-85.8700000000,-171.7400000000,12,00tz7zydzzy3
-85.8600000000,-171.7200000000,12,00tzs3tm1zzm
-85.8500000000,-171.7000000000,12,00tzsg7zs00d
-85.8400000000,-171.6800000000,12,00tztm63y01w
-85.8300000000,-171.6600000000,12,00tztz1h006d
-85.8200000000,-171.6400000000,12,00tzy0zw607z
-85.8100000000,-171.6200000000,12,00tzydy0s0sg
-85.8000000000,-171.6000000000,12,00tzzhsdy0tz
-85.7900000000,-171.5800000000,12,00tzzw7m00zh
-85.7800000000,-171.5600000000,12,00y0001z6300
-85.7700000000,-171.5400000000,12,00y00d03s31h
-85.7600000000,-171.5200000000,12,00y00gygy363
-85.7500000000,-171.5000000000,12,00y01mtw037m
-85.7400000000,-171.4800000000,12,00y01zs063s3
-85.7300000000,-171.4600000000,12,00y0636ds3tw
-85.7200000000,-171.4400000000,12,00y06g1hy3yd
-85.7100000000,-171.4200000000,12,00y07hzz03zw
-85.7000000000,-171.4000000000,12,00y07wy36d0g
-85.6900000000,-171.3800000000,12,00y0s0sgsd1z
-85.6800000000,-171.3600000000,12,00y0sd7myd6g
-85.6700000000,-171.3400000000,12,00y0th600ds0
-85.6600000000,-171.3200000000,12,00y0tw0d6dth
-85.6500000000,-171.3000000000,12,00y0tzzhsdy0
-85.6400000000,-171.2800000000,12,00y0y3twydzm
-85.6300000000,-171.2600000000,12,00y0ygs30g03
-85.6200000000,-171.2400000000,12,00y0zm6g6g1m
-85.6100000000,-171.2200000000,12,00y0zz1msg6d
-85.6000000000,-171.2000000000,12,00y300zzyg7w
-85.5900000000,-171.1800000000,12,00y30dyd0gsd
-85.5800000000,-171.1600000000,12,00y31hth6gtz
-85.5700000000,-171.1400000000,12,00y31w7wsgyg
-85.5600000000,-171.1200000000,12,00y36060ygzz
-85.5500000000,-171.1000000000,12,00y36d0g1h0g
-85.5400000000,-171.0800000000,12,00y36gzm7h60
-85.5300000000,-171.0600000000,12,00y37mtzth7h
-85.5200000000,-171.0400000000,12,00y37zs3zhs0
-85.5100000000,-171.0200000000,12,00y3s37h1htm
-85.5000000000,-171.0000000000,12,00y3sg1w7hy3
-85.4900000000,-170.9800000000,12,00y3tm00thzm
-85.4800000000,-170.9600000000,12,00y3twydzm0d
-85.4700000000,-170.9400000000,12,00y3y0tm1m1w
-85.4600000000,-170.9200000000,12,00y3yd7z7m6d
-85.4500000000,-170.9000000000,12,00y3zh63tm7z
-85.4400000000,-170.8800000000,12,00y3zw0gzmsg
-85.4300000000,-170.8600000000,12,00y3zzzw1mtz
-85.4200000000,-170.8400000000,12,00yd03y07mzh
-85.4100000000,-170.8200000000,12,00yd0gsdtw00
-85.4000000000,-170.8000000000,12,00yd1m7hzw1h
-85.3900000000,-170.7800000000,12,00yd1z1z1w63
-85.3800000000,-170.7600000000,12,00yd63037w7m
-85.3700000000,-170.7400000000,12,00yd6dygtws3
-85.3600000000,-170.7200000000,12,00yd7htmzwtw
-85.3500000000,-170.7000000000,12,00yd7ws01wyd
-85.3400000000,-170.6800000000,12,00yds06d7wzw
-85.3300000000,-170.6600000000,12,00ydsd1htz0g
-85.3200000000,-170.6400000000,12,00ydsgzwzz1z
-85.3100000000,-170.6200000000,12,00ydtmy31z6g
-85.3000000000,-170.6000000000,12,00ydtzsg7zs0
-85.2900000000,-170.5800000000,12,00ydy37mtzth
-85.2800000000,-170.5600000000,12,00ydyg1zzzy0
-85.2700000000,-170.5400000000,12,00ydzm0d1zzm
-85.2600000000,-170.5200000000,12,00ydzwzhs003
-85.2500000000,-170.5000000000,12,00yg00twy01m
-85.2400000000,-170.4800000000,12,00yg0ds3006d
-85.2300000000,-170.4600000000,12,00yg1h6g607w
-85.2200000000,-170.4400000000,12,00yg1w1ms0sd
-85.2100000000,-170.4200000000,12,00yg1zzzy0tw
-85.2000000000,-170.4000000000,12,00yg63yd00yg
-85.1900000000,-170.3800000000,12,00yg6gth60zz
-85.1800000000,-170.3600000000,12,00yg7m7ws30g
-85.1700000000,-170.3400000000,12,00yg7z60y360
-85.1600000000,-170.3200000000,12,00ygs30g037h
-85.1500000000,-170.3000000000,12,00ygsdzm63s0
-85.1400000000,-170.2800000000,12,00ygthtzs3tm
-85.1300000000,-170.2600000000,12,00ygtws3y3y3
-85.1200000000,-170.2400000000,12,00ygy07h03zm
-85.1100000000,-170.2200000000,12,00ygyd1w6d0d
-85.1000000000,-170.2000000000,12,00ygzh00sd1w
-85.0900000000,-170.1800000000,12,00ygzmydyd6d
-85.0800000000,-170.1600000000,12,00ygzztm0d7z
-85.0700000000,-170.1400000000,12,00zh037z6dsg
-85.0600000000,-170.1200000000,12,00zh0g63sdtz
-85.0500000000,-170.1000000000,12,00zh1m0gydzh
-85.0400000000,-170.0800000000,12,00zh1wzw0g00
